,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
253,29218.0288495012,0.9741272412523143,0.9756750284627373,0.06133181100887599,0.9143432174538614
254,29218.2386190379,0.9718214816847883,0.9757997780596707,0.06092096623181916,0.9148788118278515
255,29218.5532790255,0.9697258992574943,0.9747750784582454,0.06058085826572503,0.9141942201925204
256,29218.815500891,0.9707585754195772,0.976317576099318,0.06030405490925008,0.916013521190068
257,29219.0252817932,0.9709426942595342,0.9773029169211632,0.06017001214932123,0.917132904771842
258,29219.2875121831,0.9712014306225357,0.9759715266851048,0.05973359231735531,0.9162379343677495
259,29219.497299905,0.9684898031907578,0.9749886927111405,0.0593021287062265,0.915686564004914
260,29219.7595388198,0.96969915749517,0.9752650043108682,0.059007807885391166,0.916257196425477
261,29220.0217824708,0.9670438836089145,0.9746828388757928,0.05877276794158048,0.9159100709342123
262,29220.2315808017,0.967323756273189,0.9745412912098016,0.05838645232568746,0.9161548388841141
263,29220.4938329783,0.9644501390068058,0.9742700239653331,0.05818301647370332,0.9160870074916299
264,29220.7560898913,0.9660725726298405,0.9718170734026365,0.05783051318280989,0.9139865602198266
265,29220.9658988322,0.966817789259769,0.9711617466263183,0.05758398491267527,0.913577761713643
266,29221.2281642714,0.9676466449151414,0.9700760706215665,0.05739356448147055,0.9126825061400959
267,29221.4904344476,0.9652670929454124,0.9691217417088516,0.05705533454403158,0.91206640716482
268,29221.7002539992,0.9665629453311937,0.9690385681608409,0.0568808582157862,0.9121577099450547
269,29221.9625327021,0.9639571172155703,0.969731168068516,0.05682027650582687,0.9129108915626891
270,29222.2248161423,0.9653784695011972,0.970316498606721,0.05650697645162767,0.9138095221550933
271,29222.4871043199,0.9627003675390635,0.9670001407367798,0.05638099175972522,0.9106191489770545
272,29222.6969382731,0.9613010636172151,0.9663215497265719,0.0562253785091098,0.9100961712174621
273,29222.9592349784,0.9591620295517514,0.9677601441374197,0.05596888936695873,0.911791254770461
274,29223.2215364214,0.9593997812536673,0.9667763735518082,0.055777165338811836,0.9109992082129964
